Time Stamp,ID,Extended,Remote Frame,DLC,D1,D2,D3,D4,D5,D6,D7,D8
10148,190,0,0,6,4,1,0,4,227,254,0,0
10148,201,0,0,8,0,0,0,39,0,0,24,0
10149,193,0,0,8,16,0,0,0,16,0,0,0
10150,197,0,0,8,16,0,0,0,16,3,187,62
10160,241,0,0,6,0,6,0,65,243,255,0,0
10161,193,0,0,8,32,0,0,0,32,0,0,0
10162,241,0,0,6,28,6,0,65,243,254,0,0
10162,489,0,0,8,0,0,0,14,175,250,0,0
10173,298,0,0,8,16,226,112,92,0,0,16,149
10174,501,0,0,8,15,15,0,1,0,0,3,0
10174,462,0,0,4,8,0,7,255,0,0,0,0
10175,510,0,0,8,6,110,143,1,0,0,193,91
10185,866,0,0,4,0,0,0,0,0,0,0,0
10186,241,0,0,6,0,7,0,65,241,255,0,0
10186,170,0,0,8,41,211,49,104,4,78,150,0
10197,190,0,0,6,4,1,0,4,227,254,0,0
10198,201,0,0,8,0,0,0,39,0,0,24,0
10198,193,0,0,8,32,0,0,0,32,0,0,0
10199,241,0,0,6,28,6,0,65,243,254,0,0
10200,197,0,0,8,32,0,0,0,32,3,187,62
10211,193,0,0,8,48,0,0,0,48,0,0,0
10211,197,0,0,8,48,0,0,0,48,3,187,62
10212,209,0,0,7,128,0,191,254,0,254,0,0
10223,460,0,0,5,0,0,0,0,0,0,0,0
10223,170,0,0,8,41,211,49,104,0,78,152,0
10224,510,0,0,8,6,110,143,1,0,0,1,67
10224,866,0,0,4,0,0,0,0,0,0,0,0
10235,170,0,0,8,41,211,49,104,2,78,151,0
10236,462,0,0,4,0,0,0,0,0,0,0,0
10236,241,0,0,6,28,6,0,65,243,254,0,0
10237,170,0,0,8,41,211,49,104,4,78,150,0
10248,1005,0,0,6,0,0,0,0,0,255,0,0
10248,501,0,0,8,15,15,0,1,0,0,3,0
10249,1001,0,0,8,0,0,0,0,0,0,0,0
10250,193,0,0,8,48,0,0,0,48,0,0,0
10261,352,0,0,5,192,12,142,244,3,0,0,0
10261,193,0,0,8,0,0,0,0,0,0,0,0
10262,209,0,0,7,192,0,255,253,0,253,0,0
10262,840,0,0,5,0,0,0,0,27,0,0,0
10273,298,0,0,8,16,226,112,92,0,0,16,165
10274,481,0,0,7,0,0,0,0,0,16,240,0
10274,462,0,0,4,16,0,7,254,0,0,0,0
10275,510,0,0,8,6,110,143,1,0,0,65,75
10286,866,0,0,4,0,0,0,0,0,0,0,0
10286,241,0,0,6,40,6,0,65,243,253,0,0
10286,170,0,0,8,41,211,49,104,4,78,150,0
10297,190,0,0,6,4,1,0,4,227,254,0,0
10298,201,0,0,8,0,0,0,39,0,0,24,0
10299,193,0,0,8,0,0,0,0,0,0,0,0
10299,197,0,0,8,0,0,0,0,0,3,187,62
10300,241,0,0,6,52,7,0,65,241,252,0,0
10311,193,0,0,8,16,0,0,0,16,0,0,0
10311,197,0,0,8,16,0,0,0,16,3,187,62
10312,455,0,0,7,9,110,118,145,0,0,63,0
10323,460,0,0,5,0,0,0,0,0,0,0,0
10323,170,0,0,8,41,211,49,104,0,78,152,0
10324,510,0,0,8,6,110,143,1,0,0,129,83
10325,866,0,0,4,0,0,0,0,0,0,0,0
10335,170,0,0,8,41,211,49,104,2,78,151,0
10336,462,0,0,4,8,0,7,255,0,0,0,0
10337,241,0,0,6,52,7,0,65,241,252,0,0
10337,170,0,0,8,41,211,49,104,4,78,150,0
10348,190,0,0,6,4,1,0,4,227,254,0,0
10349,1017,0,0,8,0,0,0,0,79,0,232,66
10350,1020,0,0,8,72,24,112,163,155,0,163,155
10350,1217,0,0,8,0,194,103,92,155,0,0,0
10361,193,0,0,8,16,0,0,0,16,0,0,0
10362,241,0,0,6,28,7,0,65,241,254,0,0
10362,489,0,0,8,0,0,0,14,175,249,0,0
10373,298,0,0,8,16,226,112,92,0,0,16,181
10374,608,0,0,8,200,0,0,0,0,0,0,0
10374,844,0,0,8,250,150,31,249,3,243,0,0
10375,462,0,0,4,24,0,7,253,0,0,0,0
10386,510,0,0,8,6,110,143,2,0,0,193,92
10386,241,0,0,6,0,7,0,65,241,255,0,0
10387,170,0,0,8,41,211,49,104,4,78,150,0
10387,190,0,0,6,4,1,0,4,227,254,0,0
10398,201,0,0,8,0,0,0,39,0,0,24,0
10399,241,0,0,6,28,7,0,65,241,254,0,0
10400,193,0,0,8,32,0,0,0,32,0,0,0
10400,499,0,0,3,192,224,0,0,0,0,0,0
10411,197,0,0,8,32,0,0,0,32,3,187,62
10411,241,0,0,6,40,7,0,65,241,253,0,0
10412,485,0,0,8,92,255,222,80,0,0,2,197
10423,463,0,0,3,0,0,5,0,0,0,0,0
10423,170,0,0,8,41,211,49,104,0,78,152,0
10424,510,0,0,8,6,110,143,1,0,0,1,67
10424,866,0,0,4,0,0,0,0,0,0,0,0
10435,170,0,0,8,41,211,49,104,2,78,151,0
10436,462,0,0,4,16,0,7,254,0,0,0,0
10436,241,0,0,6,28,7,0,65,241,254,0,0
10437,170,0,0,8,41,211,49,104,4,78,150,0
10448,190,0,0,6,4,1,0,4,227,254,0,0
10448,1001,0,0,8,0,0,0,0,0,0,0,0
10449,193,0,0,8,48,0,0,0,48,0,0,0
10450,197,0,0,8,48,0,0,0,48,3,187,62
10461,352,0,0,5,192,12,142,244,3,0,0,0
10461,193,0,0,8,0,0,0,0,0,0,0,0
10462,209,0,0,7,192,0,255,253,0,253,0,0
10462,840,0,0,5,0,0,0,0,27,0,0,0
10473,298,0,0,8,16,226,112,92,0,0,16,133
10474,309,0,0,8,0,0,8,86,98,13,26,49
10474,462,0,0,4,0,0,0,0,0,0,0,0
10475,510,0,0,8,6,110,143,1,0,0,65,75
10486,866,0,0,4,0,0,0,0,0,0,0,0
10486,241,0,0,6,40,6,0,65,243,253,0,0
10487,170,0,0,8,41,211,49,104,4,78,150,0
